,AuthoDisplayName,CommentID,LikeCount,TotalReplyCount,canReplay,publishedAt,textDisplay,textOriginal,sexe,sentiments
78,Bandare,UgxAKCdT_10tBhoTvAd4AaABAg,0,0,True,2018-01-26T22:48:46.000Z,Great short video!<br /><br />What I&#39;d like to see is a short video of what you&#39;d want on a drone if you were going to upgrade from your Inspire 2 and X7?,"Great short video!

What I'd like to see is a short video of what you'd want on a drone if you were going to upgrade from your Inspire 2 and X7?",male,positive
79,Micah Farmer,UgwKVtSAlAXXALl1cjp4AaABAg,0,0,True,2018-01-26T22:46:15.000Z,I’ve always been curious on what that wide angle lens is! It creates some really cool shots! Keep these vids coming👍🏻,I’ve always been curious on what that wide angle lens is! It creates some really cool shots! Keep these vids coming👍🏻,male,positive
80,Caleb Ghiloni,UgwC4jA3g5hUuXZd7x14AaABAg,0,0,True,2018-01-26T22:46:14.000Z,"You should do a low budget series that you could do cameras, lenses, lighting, accessories, etc. Btw, love your videos on here and the main channel.","You should do a low budget series that you could do cameras, lenses, lighting, accessories, etc. Btw, love your videos on here and the main channel.",male,positive
81,Rien B.,UgynMVQc0ZijbllAIvJ4AaABAg,1,0,True,2018-01-26T22:44:09.000Z,"&#39;This is my favorite lens, as far as Canon lenses go&#39; is like saying &#39;this is my favorite girl, from the United States&#39;.","'This is my favorite lens, as far as Canon lenses go' is like saying 'this is my favorite girl, from the United States'.",male,positive
82,Nico K.,Ugw3w8qiKttZGozMF7N4AaABAg,1,0,True,2018-01-26T22:42:33.000Z,can you maybe produce a video where you explain how to shoot and focus with the red in manual mode ?,can you maybe produce a video where you explain how to shoot and focus with the red in manual mode ?,male,neutral
83,Teen Perfect Crew,UgyLMq_-MZvKVgPRLzZ4AaABAg,1,0,True,2018-01-26T22:40:49.000Z,Could you come to talk at my school.,Could you come to talk at my school.,male,neutral
84,Jordan Kelly,UgytLCSf8wuRJ8mEVYp4AaABAg,1,0,True,2018-01-26T22:35:16.000Z,My go to lens is the 18-55mm kit lens lol,My go to lens is the 18-55mm kit lens lol,male,positive
85,P C,Ugyo3I83bEIWKl3iw9h4AaABAg,0,0,True,2018-01-26T22:33:46.000Z,"What about a segment on audio? Like your different mics, the differences, and why you would and wouldn&#39;t use each in certain situations?","What about a segment on audio? Like your different mics, the differences, and why you would and wouldn't use each in certain situations?",male,positive
86,KwasnikPictures,UgwzclSqYu1SlWh6OAF4AaABAg,0,0,True,2018-01-26T22:33:32.000Z,"Thats awesome! Im using a 10mm Samyang with a speedbooster on a GH5, gives an awesome wide look. Its great especially on a Glidecam.","Thats awesome! Im using a 10mm Samyang with a speedbooster on a GH5, gives an awesome wide look. Its great especially on a Glidecam.",male,positive
87,Brandon S,UgzcChRM5_sysUIQVY54AaABAg,0,0,True,2018-01-26T22:32:59.000Z,"You can get a DJI Mavic Pro platinum, so I can hear what you think between the two","You can get a DJI Mavic Pro platinum, so I can hear what you think between the two",male,neutral
88,Paulo André Carvalho,Ugw8tCVN43JA7CqqMll4AaABAg,0,0,True,2018-01-26T22:32:52.000Z,"Being a super 35 it’s almost the same as using the 16-35 on a full frame, right?","Being a super 35 it’s almost the same as using the 16-35 on a full frame, right?",male,positive
89,6mic Films,UgwZ5Iy8P8xogA-VUNx4AaABAg,0,0,True,2018-01-26T22:32:09.000Z,Continued success thanks for sharing are you traveling to Phoenix Arizona anytime soon if so it would be nice if you guys want to do a paid mastermind MEETUP.  That would be a lot of value - keep it up guys - VOIGHT THORNTON,Continued success thanks for sharing are you traveling to Phoenix Arizona anytime soon if so it would be nice if you guys want to do a paid mastermind MEETUP.  That would be a lot of value - keep it up guys - VOIGHT THORNTON,male,positive
90,Eldir snowfield,Ugxc-MuYzza4ldxRlFR4AaABAg,3,1,True,2018-01-26T22:32:03.000Z,"How do you keep focus while glidecaming? (AF, closed aperture...)","How do you keep focus while glidecaming? (AF, closed aperture...)",male,negative
91,Joris Brans,Ugy2cgmj0HiOy9C8x-d4AaABAg,0,0,True,2018-01-26T22:31:10.000Z,Make a video about canon rebel sl2,Make a video about canon rebel sl2,male,neutral
92,Rene Recek,UgzJoPVEf3iy7z-_5uF4AaABAg,1,2,True,2018-01-26T22:30:22.000Z,How do you pull focus while you are on Glidecam or do you pre focus?,How do you pull focus while you are on Glidecam or do you pre focus?,male,neutral
93,Superhero-Kaif,UgwRd0yCCzFruTTAoYV4AaABAg,1,0,True,2018-01-26T22:29:48.000Z,I was watching bucket family video and then this notification came up. good going Devin!,I was watching bucket family video and then this notification came up. good going Devin!,male,positive
94,michalis merianos,Ugzm5GFIeFqg5K1_pWF4AaABAg,0,0,True,2018-01-26T22:28:40.000Z,"Hey very helpful video, I use the canon 24-70 2.8 L for weddings with the canon 6d ii and I don&#39;t know if the quality is good or I need something better thanks","Hey very helpful video, I use the canon 24-70 2.8 L for weddings with the canon 6d ii and I don't know if the quality is good or I need something better thanks",female,positive
